""09:48:35.298 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:35.298 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:35.298 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:35.299 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:35.299 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:35.300 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:35.300 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:35.301 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:35.301 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:35.302 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:35.302 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:35.303 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:35.303 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:35.303 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:35.304 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:35.304 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:35.304 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:35.305 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:35.305 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:35.305 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:35.306 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:35.306 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:35.306 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:35.307 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:35.307 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:35.307 [http-nio-8080-exec-8] DEBUG ua.dp.exhibitions.dao.ShowsDAO - Calling getNoOfShows in ShowsDAO
""09:48:36.264 [http-nio-8080-exec-9] DEBUG ua.dp.exhibitions.web.shows.GetShowsServlet - in GetShowsServlet doPost
""09:48:36.264 [http-nio-8080-exec-9] DEBUG ua.dp.exhibitions.dao.ShowsDAO - Calling getShows(with parameters) in ShowsDAO
""09:48:36.264 [http-nio-8080-exec-9] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - combineSqlForShowSearch() in ShowsDaoUtil
""09:48:36.265 [http-nio-8080-exec-9] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapShows in ShowsDAOUtil
""09:48:36.265 [http-nio-8080-exec-9] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:36.266 [http-nio-8080-exec-9] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:36.266 [http-nio-8080-exec-9] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
""09:48:36.266 [http-nio-8080-exec-9] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling getShowRooms in ShowsDaoUtil
""09:48:36.267 [http-nio-8080-exec-9] DEBUG ua.dp.exhibitions.daoUtil.ShowsDaoUtil - Calling mapRooms in ShowsDaoUtil
""09:48:36.267 [http-nio-8080-exec-9] DEBUG ua.dp.exhibitions.dao.TicketsDAO - Calling countTicketsByShowId in TicketsDAO
